Feature,Importance,Definition
labelnum,145.8408613204956,Number of labels on the issue
projaccard_sim,142.7473382949829,Jaccard similarity of project features
prreviewcos_sim,142.72590160369873,Cosine similarity between pull request reviews
clstwomonth_pr,130.19823741912842,Candidate's number of pull requests in the last two months
clsthreemonth_cmt,125.51133823394775,Candidate's number of commits in the last three months
ownerpr,119.96570920944214,Number of pull requests made by the repository owner
prreviewcos_sim_mean,116.9593997001648,Mean cosine similarity among pull request reviews
prreviewjaccard_sim_mean,109.54137182235718,Mean Jaccard similarity among pull request reviews
prostopic_ratio,107.79058837890625,Ratio of topics in the project
prreviewjaccard_sim,107.30430030822754,Jaccard similarity between pull request reviews
solvedissuelabel_ratio,105.05149841308594,Ratio of labels in issues solved by the candidate
clsonemonth_pr,99.2938985824585,Candidate's number of pull requests in the last month
solvedissuelabel_sum,79.22039985656738,Sum of labels in issues solved by the candidate
clsonemonth_iss,75.04120063781738,Candidate's number of issues in the last month
clsthreemonth_pr,73.37277936935425,Candidate's number of pull requests in the last three months
NumOfPics,67.44988107681274,Number of pictures in the issue description
clsthreemonth_iss,57.778029918670654,Candidate's number of issues in the last three months
issuelabel_ratio,56.61815071105957,Ratio of labels in the issue
commentissuelabel_ratio,40.97923040390015,Ratio of labels in the candidate's comments on issues
clsallprreview,40.47942018508911,Total number of pull request reviews made by the candidate
buglabelnum,40.09588980674744,Number of "bug" labels on the issue
prostopic_sum,38.527729511260986,Sum of topics in the project
doclabelnum,36.83600044250488,Number of "documentation" labels on the issue
majorlabelnum,35.00380039215088,Number of "major" labels on the issue
clsallpr,28.21909999847412,Total number of pull requests made by the candidate
enhancelabelnum,27.12380027770996,Number of "enhancement" labels on the issue
commentissuelabel_sum,25.544750213623047,Sum of labels in the candidate's comments on issues
clsalliss,21.286629676818848,Total number of issues opened by the candidate
triagedlabelnum,21.079559326171875,Number of "triaged" labels on the issue
mediumlabelnum,15.083399772644043,Number of "medium" labels on the issue
testlabelnum,14.926899909973145,Number of "test" labels on the issue
prlabel_sum,4.9115400314331055,Sum of labels in the pull request
prlabel_ratio,4.760519981384277,Ratio of labels in the pull request
codinglabelnum,0.0,Number of "coding" labels on the issue
owner_gfi_ratio,0.0,Ratio of good first issues created by the repository owner
owner_max_stars_review,0.0,Maximum stars of repositories where the owner reviewed pull requests
owner_max_stars_pull,0.0,Maximum stars of repositories where the owner made pull requests
owner_max_stars_issue,0.0,Maximum stars of repositories where the owner created issues
owner_max_stars_commit,0.0,Maximum stars of repositories where the owner made commits
owner_reviews_num_all,0.0,Total number of pull request reviews made by the owner
ownerallpr,0.0,Total number of pull requests made by the owner
owneralliss,0.0,Total number of issues opened by the owner
ownerallcmt,0.0,Total number of commits made by the owner
ownerpronum,0.0,Number of projects the owner contributed to
untriagedlabelnum,0.0,Number of "untriaged" labels on the issue
owneriss,0.0,Number of issues opened by the repository owner
ownercmt,0.0,Number of commits made by the repository owner
buildlabelnum,0.0,Number of "build" labels on the issue
rptisnew,0.0,Whether the reporter is new to the project
rpt_max_stars_review,0.0,Maximum stars of repositories where the reporter reviewed pull requests
rpt_max_stars_pull,0.0,Maximum stars of repositories where the reporter made pull requests
featurelabelnum,0.0,Number of "feature" labels on the issue
readmejaccard_sim,0.0,Jaccard similarity between readme and the issue
rpt_reviews_num_all,0.0,Total number of pull request reviews made by the reporter
rptallpr,0.0,Total number of pull requests made by the reporter
readmejaccard_sim_mean,0.0,Mean Jaccard similarity between readme and issues
issuelabel_sum,0.0,Sum of labels in the issue
owner_gfi_num,0.0,Number of good first issues created by the repository owner
